image_id,image_path,parent_id,pixel_bounds,label
49081.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/49081.png,,"(0, 0, 28, 28)",2
51816.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/51816.png,,"(0, 0, 28, 28)",2
39566.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/39566.png,,"(0, 0, 28, 28)",2
24251.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/24251.png,,"(0, 0, 28, 28)",2
20989.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/20989.png,,"(0, 0, 28, 28)",2
29013.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/29013.png,,"(0, 0, 28, 28)",2
10692.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10692.png,,"(0, 0, 28, 28)",1
58832.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/58832.png,,"(0, 0, 28, 28)",2
30556.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/30556.png,,"(0, 0, 28, 28)",1
10686.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10686.png,,"(0, 0, 28, 28)",1
9294.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/9294.png,,"(0, 0, 28, 28)",2
20023.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/20023.png,,"(0, 0, 28, 28)",2
36899.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/36899.png,,"(0, 0, 28, 28)",2
58198.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/58198.png,,"(0, 0, 28, 28)",1
16591.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16591.png,,"(0, 0, 28, 28)",1
35360.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/35360.png,,"(0, 0, 28, 28)",1
54952.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/54952.png,,"(0, 0, 28, 28)",2
45687.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/45687.png,,"(0, 0, 28, 28)",2
3949.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/3949.png,,"(0, 0, 28, 28)",2
29991.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/29991.png,,"(0, 0, 28, 28)",2
30218.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/30218.png,,"(0, 0, 28, 28)",1
57283.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/57283.png,,"(0, 0, 28, 28)",1
47090.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/47090.png,,"(0, 0, 28, 28)",2
36669.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/36669.png,,"(0, 0, 28, 28)",1
10876.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10876.png,,"(0, 0, 28, 28)",2
56823.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/56823.png,,"(0, 0, 28, 28)",2
28331.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/28331.png,,"(0, 0, 28, 28)",1
1838.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/1838.png,,"(0, 0, 28, 28)",1
52489.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/52489.png,,"(0, 0, 28, 28)",1
25601.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/25601.png,,"(0, 0, 28, 28)",2
37205.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/37205.png,,"(0, 0, 28, 28)",2
37563.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/37563.png,,"(0, 0, 28, 28)",1
56189.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/56189.png,,"(0, 0, 28, 28)",1
21301.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/21301.png,,"(0, 0, 28, 28)",1
6825.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/6825.png,,"(0, 0, 28, 28)",2
8808.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/8808.png,,"(0, 0, 28, 28)",2
406.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/406.png,,"(0, 0, 28, 28)",1
33705.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/33705.png,,"(0, 0, 28, 28)",1
1192.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/1192.png,,"(0, 0, 28, 28)",1
24279.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/24279.png,,"(0, 0, 28, 28)",1
45693.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/45693.png,,"(0, 0, 28, 28)",1
54946.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/54946.png,,"(0, 0, 28, 28)",1
12913.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/12913.png,,"(0, 0, 28, 28)",2
42117.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/42117.png,,"(0, 0, 28, 28)",2
9525.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/9525.png,,"(0, 0, 28, 28)",1
33936.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/33936.png,,"(0, 0, 28, 28)",1
54775.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/54775.png,,"(0, 0, 28, 28)",1
12720.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/12720.png,,"(0, 0, 28, 28)",2
43209.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/43209.png,,"(0, 0, 28, 28)",2
11229.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/11229.png,,"(0, 0, 28, 28)",1
26485.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/26485.png,,"(0, 0, 28, 28)",1
16546.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16546.png,,"(0, 0, 28, 28)",1
4001.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/4001.png,,"(0, 0, 28, 28)",2
19675.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/19675.png,,"(0, 0, 28, 28)",2
49042.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/49042.png,,"(0, 0, 28, 28)",1
10137.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10137.png,,"(0, 0, 28, 28)",2
2316.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/2316.png,,"(0, 0, 28, 28)",1
41378.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/41378.png,,"(0, 0, 28, 28)",2
46417.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/46417.png,,"(0, 0, 28, 28)",1
5479.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/5479.png,,"(0, 0, 28, 28)",1
16220.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16220.png,,"(0, 0, 28, 28)",2
47709.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/47709.png,,"(0, 0, 28, 28)",1
54013.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/54013.png,,"(0, 0, 28, 28)",2
22185.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/22185.png,,"(0, 0, 28, 28)",2
